Gene_ID	Gene_Name	Rank	PageRank_Score
ENSG00000185104	FAF1	352	0.000283828227321
ENSG00000163931	TKT	353	0.000283678462901
ENSG00000119397	CNTRL	354	0.000283545776807
ENSG00000102178	UBL4A	355	0.000282208303574
ENSG00000203737	GPR52	356	0.000281809450684
ENSG00000173226	IQCB1	357	0.000281617497755
ENSG00000122565	CBX3	358	0.000280964489208
ENSG00000136068	FLNB	359	0.000280949464538
ENSG00000134371	CDC73	360	0.000280691941149
ENSG00000169679	BUB1	361	0.000280659724474
ENSG00000105085	MED26	362	0.000279939729501
ENSG00000077549	CAPZB	363	0.000279797856072
ENSG00000151466	SCLT1	364	0.000279101480579
ENSG00000137076	TLN1	365	0.000279094962485
ENSG00000107581	EIF3A	366	0.000278648083902
ENSG00000149136	SSRP1	367	0.000278446766218
ENSG00000165527	ARF6	368	0.00027833821633
ENSG00000116574	RHOU	369	0.00027770933374
ENSG00000141568	FOXK2	370	0.000277515459496
ENSG00000100650	SRSF5	371	0.000276881616503
ENSG00000144566	RAB5A	372	0.000276629960231
ENSG00000119335	SET	373	0.000276538099033
ENSG00000080345	RIF1	374	0.00027611297927
ENSG00000101624	CEP76	375	0.000275822654067
ENSG00000137312	FLOT1	376	0.000274721980767
ENSG00000115085	ZAP70	377	0.000274706098724
ENSG00000136986	DERL1	378	0.000274581687172
ENSG00000161956	SENP3	379	0.000274213405237
ENSG00000129245	FXR2	380	0.000273940314696
ENSG00000156970	BUB1B	381	0.000273438530139
ENSG00000101336	HCK	382	0.000273195280887
ENSG00000198873	GRK5	383	0.000273097347542
ENSG00000104320	NBN	384	0.000271752130823
ENSG00000143575	HAX1	385	0.000271361680989
ENSG00000183431	SF3A3	386	0.000270849095745
ENSG00000131023	LATS1	387	0.000270657921913
ENSG00000126581	BECN1	388	0.000270585624561
ENSG00000131747	TOP2A	389	0.000270525337131
ENSG00000118058	KMT2A	390	0.000269857944056
ENSG00000055208	TAB2	391	0.000269654190704
ENSG00000011304	PTBP1	392	0.000269501187683
ENSG00000112658	SRF	393	0.000269308368797
ENSG00000111424	VDR	394	0.000268808640028
ENSG00000100503	NIN	395	0.000268639388535
ENSG00000122952	ZWINT	396	0.000268178090996
ENSG00000140416	TPM1	397	0.000268083987414
ENSG00000076003	MCM6	398	0.000267938133449
ENSG00000144021	CIAO1	399	0.000267524967253
ENSG00000239306	RBM14	400	0.000267043639696
ENSG00000079785	DDX1	401	0.00026698392454
ENSG00000134954	ETS1	402	0.000266871366277
ENSG00000103479	RBL2	403	0.000266301315353
ENSG00000164548	TRA2A	404	0.000266106215086
ENSG00000187608	ISG15	405	0.000266049753085
ENSG00000104823	ECH1	406	0.000266014956966
ENSG00000149925	ALDOA	407	0.000265804983623
ENSG00000162298	SYVN1	408	0.00026576143594
ENSG00000153071	DAB2	409	0.000265235894315
ENSG00000104738	MCM4	410	0.000264502437879
ENSG00000188878	FBF1	411	0.000264399639337
ENSG00000115163	CENPA	412	0.000264187481535
ENSG00000115310	RTN4	413	0.000264169549401
ENSG00000172936	MYD88	414	0.00026400250199
ENSG00000139618	BRCA2	415	0.000263829536295
ENSG00000078668	VDAC3	416	0.00026379511659
ENSG00000167461	RAB8A	417	0.000263413656917
ENSG00000143437	ARNT	418	0.000262794790538
ENSG00000130816	DNMT1	419	0.000262740517431
ENSG00000175203	DCTN2	420	0.00026270786293
ENSG00000167004	PDIA3	421	0.000262297156451
ENSG00000165806	CASP7	422	0.000261774738571
ENSG00000213024	NUP62	423	0.000261766767782
ENSG00000159216	RUNX1	424	0.000261733384124
ENSG00000213397	HAUS7	425	0.000260563893153
ENSG00000130826	DKC1	426	0.000260238190025
ENSG00000108344	PSMD3	427	0.00026017441518
ENSG00000077150	NFKB2	428	0.00026014124576
ENSG00000007372	PAX6	429	0.000260091621937
ENSG00000103653	CSK	430	0.000259301637377
ENSG00000164379	FOXQ1	431	0.000259182820829
ENSG00000050820	BCAR1	432	0.000258897587459
ENSG00000166197	NOLC1	433	0.000258743610052
ENSG00000116918	TSNAX	434	0.000258573814328
ENSG00000128272	ATF4	435	0.000257987874094
ENSG00000060237	WNK1	436	0.000257798954456
